127.0.0.1 - - [11/Feb/2016:16:29:43 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:29:56 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:52 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:53 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:30:55 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:31:05 +0800] "GET /francisBlog/jsp/_article_detail.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:31:17 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:31:19 +0800] "GET /francisBlog/jsp/_article_detail.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [11/Feb/2016:16:31:21 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
