127.0.0.1 - - [28/Mar/2016:23:05:30 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:33 +0800] "GET /francisBlog/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:46 +0800] "GET /francisBlog/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:46 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:46 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:48 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:48 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:48 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 200 1872
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:48 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:48 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 200 22134
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:49 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 200 22134
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:49 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 200 28372
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:49 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 200 177534
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:49 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 200 4599
0:0:0:0:0:0:0:1 - - [28/Mar/2016:23:05:49 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 200 5219
