127.0.0.1 - - [17/May/2016:08:53:56 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2016:08:53:59 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:00 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:00 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 200 31360
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:03 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:03 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:20 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:22 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:23 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:27 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:36 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:38 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:40 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:42 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:42 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:44 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:45 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:54:47 +0800] "POST /francisBlog/jsp/user_queryByName.action HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6396
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/util/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/util/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2016:08:55:28 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
